Description,value,coefficient_name
,-0.8937814438694933,coef_asc_dur_0_4_stops_0out_0in
,-1.1150046030355258,coef_asc_dur_0_4_stops_0out_1in
,-999.0,coef_asc_dur_0_4_stops_0out_2in
,-999.0,coef_asc_dur_0_4_stops_0out_3in
,-1.874168909289584,coef_asc_dur_0_4_stops_1out_0in
,-2.2118494936660387,coef_asc_dur_0_4_stops_1out_1in
,-999.0,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-999.0,coef_asc_dur_0_4_stops_2out_0in
,-999.0,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-999.0,coef_asc_dur_0_4_stops_3out_0in
,-999.0,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-2.05499078869302,coef_asc_dur_4_8_stops_0out_0in
,-1.6328781383578765,coef_asc_dur_4_8_stops_0out_1in
,-2.1715029686990848,coef_asc_dur_4_8_stops_0out_2in
,-2.127266686268081,coef_asc_dur_4_8_stops_0out_3in
,-3.596294477306465,coef_asc_dur_4_8_stops_1out_0in
,-2.8151520217175774,coef_asc_dur_4_8_stops_1out_1in
,-3.8948113487130525,coef_asc_dur_4_8_stops_1out_2in
,-2.8151520217175774,coef_asc_dur_4_8_stops_1out_3in
,-3.5624990245999633,coef_asc_dur_4_8_stops_2out_0in
,-999.0,coef_asc_dur_4_8_stops_2out_1in
,-3.2733149894316003,coef_asc_dur_4_8_stops_2out_2in
,-999.0,coef_asc_dur_4_8_stops_2out_3in
,-1.877638178405248,coef_asc_dur_4_8_stops_3out_0in
,-2.871608389601756,coef_asc_dur_4_8_stops_3out_1in
,-999.0,coef_asc_dur_4_8_stops_3out_2in
,-999.0,coef_asc_dur_4_8_stops_3out_3in
,-2.025712973778433,coef_asc_dur_8_24_stops_0out_0in
,-3.0521413784989018,coef_asc_dur_8_24_stops_0out_1in
,-2.543782113797932,coef_asc_dur_8_24_stops_0out_2in
,-0.7582332058770458,coef_asc_dur_8_24_stops_0out_3in
,-999.0,coef_asc_dur_8_24_stops_1out_0in
,-999.0,coef_asc_dur_8_24_stops_1out_1in
,-999.0,coef_asc_dur_8_24_stops_1out_2in
,-3.217604651248135,coef_asc_dur_8_24_stops_1out_3in
,-999.0,coef_asc_dur_8_24_stops_2out_0in
,-3.217604651248135,coef_asc_dur_8_24_stops_2out_1in
,-999.0,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-2.665511660493989,coef_asc_dur_8_24_stops_3out_0in
,-2.086546781465253,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-999.0,coef_asc_dur_8_24_stops_3out_3in
